역명,위도,경도,가장_가까운_관측소명
한강진,37.53956,127.001729,중구
버티고개,37.547933,127.006948,중구
약수,37.554087,127.010237,중구
청구,37.560221,127.013776,중구
신당,37.566174,127.016158,성동
동묘앞,37.572275,127.015666,중구
창신,37.579772,127.015246,성북
보문,37.585293,127.019377,성북
안암,37.586261,127.02903,동대문
고려대,37.59034,127.03626,동대문
월곡,37.60192,127.041492,동대문
상월곡,37.606392,127.048509,동대문
돌곶이,37.610522,127.056419,동대문
석계,37.614937,127.065922,노원
태릉입구,37.617319,127.074741,노원
화랑대,37.619875,127.084106,노원
봉화산,37.617293,127.091375,노원
신내,37.612571,127.104326,노원
수락산,37.677804,127.055314,도봉
마들,37.664985,127.057701,도봉
노원,37.654478,127.060555,도봉
중계,37.645052,127.064084,노원
하계,37.636363,127.067999,노원
공릉,37.625642,127.072969,노원
태릉입구,37.617319,127.074741,노원
먹골,37.610638,127.077719,노원
중화,37.602604,127.079254,중랑
상봉,37.595673,127.085708,중랑
면목,37.588671,127.087503,중랑
사가정,37.580912,127.088502,중랑
용마산,37.573752,127.086802,중랑
중곡,37.565877,127.084291,중랑
군자,37.557151,127.079484,광진
어린이대공원,37.547962,127.07465,광진
건대입구,37.540882,127.071103,광진
뚝섬유원지,37.531558,127.066714,광진
청담,37.519097,127.051851,성동
강남구청,37.517185,127.04122,성동
학동,37.514262,127.031738,서초
논현,37.511108,127.021385,서초
반포,37.508171,127.011717,서초
고속터미널,37.503387,127.005055,현충원
내방,37.48764,126.993541,현충원
총신대입구,37.485258,126.981766,현충원
남성,37.484688,126.971108,현충원
숭실대입구,37.496258,126.953649,현충원
상도,37.50279,126.947949,현충원
장승배기,37.504845,126.939025,한강
신대방삼거리,37.499717,126.928218,기상청
보라매,37.499916,126.920112,기상청
신풍,37.500107,126.909806,기상청
대림,37.492984,126.896997,기상청
남구로,37.486181,126.887372,금천
가산디지털단지,37.480376,126.882704,금천
철산,37.47616,126.868217,금천
광명사거리,37.47927,126.854854,구로
암사,37.550127,127.127521,강동
천호,37.53792,127.123179,강동
강동구청,37.530348,127.120461,광진
몽촌토성,37.517692,127.11274,광진
잠실,37.514649,127.104267,광진
석촌,37.505396,127.106995,강남
송파,37.49978,127.11212,강남
가락시장,37.493004,127.118279,송파
문정,37.485931,127.122473,송파
장지,37.478609,127.126229,송파
복정,37.471016,127.126746,송파
남위례,37.462839,127.139047,송파
